form,company,ticker,cik,filing_date,accession_number,filing_link
10-Q,Agentix Corp.,AGTX,1603345,2025-02-18,0001477932-25-001090,https://www.sec.gov/Archives/edgar/data/1603345/0001477932-25-001090.txt
10-Q,"CISCO SYSTEMS, INC.",CSCO,858877,2025-02-18,0000858877-25-000007,https://www.sec.gov/Archives/edgar/data/858877/0000858877-25-000007.txt
10-Q,"Crucial Innovations, Corp.",,1766016,2025-02-18,0001712543-25-000008,https://www.sec.gov/Archives/edgar/data/1766016/0001712543-25-000008.txt
10-Q,"FORMATION MINERALS, INC.",FOMI,1885336,2025-02-18,0001213900-25-014517,https://www.sec.gov/Archives/edgar/data/1885336/0001213900-25-014517.txt
10-Q,LA-Z-BOY INC,LZB,57131,2025-02-18,0000057131-25-000017,https://www.sec.gov/Archives/edgar/data/57131/0000057131-25-000017.txt
10-Q,Medicale Corp.,MCLE,1827855,2025-02-18,0001683168-25-001076,https://www.sec.gov/Archives/edgar/data/1827855/0001683168-25-001076.txt
10-Q,Natics Corp.,,1933359,2025-02-18,0001683168-25-001074,https://www.sec.gov/Archives/edgar/data/1933359/0001683168-25-001074.txt
10-Q,"Transportation & Logistics Systems, Inc.",,1463208,2025-02-18,0001493152-25-007089,https://www.sec.gov/Archives/edgar/data/1463208/0001493152-25-007089.txt
10-Q,Wellings Real Estate Income Fund,,1922947,2025-02-18,0001213900-25-014518,https://www.sec.gov/Archives/edgar/data/1922947/0001213900-25-014518.txt
10-Q,"urban-gro, Inc.",UGRO,1706524,2025-02-18,0001706524-25-000011,https://www.sec.gov/Archives/edgar/data/1706524/0001706524-25-000011.txt
10-Q,"urban-gro, Inc.",UGRO,1706524,2025-02-18,0001706524-25-000012,https://www.sec.gov/Archives/edgar/data/1706524/0001706524-25-000012.txt
10-Q/A,"Earth Science Tech, Inc.",UNOV,1538495,2025-02-18,0001493152-25-007146,https://www.sec.gov/Archives/edgar/data/1538495/0001493152-25-007146.txt
10-Q,ADDENTAX GROUP CORP.,ATXG,1650101,2025-02-14,0001493152-25-006558,https://www.sec.gov/Archives/edgar/data/1650101/0001493152-25-006558.txt
10-Q,"ADM TRONICS UNLIMITED, INC.",ADMT,849401,2025-02-14,0001437749-25-004018,https://www.sec.gov/Archives/edgar/data/849401/0001437749-25-004018.txt
10-Q,ADMIRAL FINANCIAL CORP,,828530,2025-02-14,0001553350-25-000003,https://www.sec.gov/Archives/edgar/data/828530/0001553350-25-000003.txt
10-Q,AMERICAN BATTERY TECHNOLOGY Co,ABAT,1576873,2025-02-14,0001493152-25-006918,https://www.sec.gov/Archives/edgar/data/1576873/0001493152-25-006918.txt
10-Q,AMERICAN HONDA FINANCE CORP,,864270,2025-02-14,0000864270-25-000003,https://www.sec.gov/Archives/edgar/data/864270/0000864270-25-000003.txt
10-Q,ASTROTECH Corp,ASTC,1001907,2025-02-14,0001437749-25-003833,https://www.sec.gov/Archives/edgar/data/1001907/0001437749-25-003833.txt
10-Q,"Aeries Technology, Inc.",AERTW,1853044,2025-02-14,0001829126-25-001004,https://www.sec.gov/Archives/edgar/data/1853044/0001829126-25-001004.txt
10-Q,"AmeriCann, Inc.",ACAN,1508348,2025-02-14,0001437749-25-004034,https://www.sec.gov/Archives/edgar/data/1508348/0001437749-25-004034.txt
10-Q,Amplify Commodity Trust,BWET,1610940,2025-02-14,0001213900-25-014137,https://www.sec.gov/Archives/edgar/data/1610940/0001213900-25-014137.txt
