Company Name,Symbol,Market Cap,EPS Forecast,EPS,Time,Fiscal Quarter Ending,No. of ESTs,Surprise,Scraped At
HSBC Holdings plc,HSBC,"$196,515,441,740",$1.41,,time-not-supplied,Dec/2024,2,,2025-02-19 03:27:36
"Analog Devices, Inc.",ADI,"$106,510,267,836",$1.54,,time-pre-market,Jan/2025,11,,2025-02-19 03:27:36
Carvana Co.,CVNA,"$59,243,002,844",$0.24,,time-after-hours,Dec/2024,7,,2025-02-19 03:27:36
Manulife Financial Corp,MFC,"$52,013,296,209",$0.67,,time-after-hours,Dec/2024,5,,2025-02-19 03:27:36
ENI S.p.A.,E,"$49,558,768,283",$0.87,,time-not-supplied,Dec/2024,3,,2025-02-19 03:27:36
Garmin Ltd.,GRMN,"$40,828,348,908",$1.89,,time-pre-market,Dec/2024,3,,2025-02-19 03:27:36
Crown Castle Inc.,CCI,"$38,227,258,375",$1.74,,time-not-supplied,Dec/2024,6,,2025-02-19 03:27:36
Texas Pacific Land Corporation,TPL,"$31,530,771,973",,,time-after-hours,Dec/2024,10,,2025-02-19 03:27:36
"ANSYS, Inc.",ANSS,"$29,639,412,909",$3.22,,time-after-hours,Dec/2024,2,,2025-02-19 03:27:36
Koninklijke Philips N.V.,PHG,"$25,551,504,967",$0.55,,time-pre-market,Dec/2024,1,,2025-02-19 03:27:36
Nutrien Ltd.,NTR,"$25,183,139,240",$0.31,,time-after-hours,Dec/2024,8,,2025-02-19 03:27:36
American Water Works,AWK,"$24,490,366,091",$1.13,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
"Toast, Inc.",TOST,"$22,998,320,000",$0.06,,time-after-hours,Dec/2024,8,,2025-02-19 03:27:36
Tenaris S.A.,TS,"$22,563,610,456",$0.63,,time-after-hours,Dec/2024,5,,2025-02-19 03:27:36
Trimble Inc.,TRMB,"$18,259,891,691",$0.75,,time-pre-market,Dec/2024,5,,2025-02-19 03:27:36
United Therapeutics Corporation,UTHR,"$16,544,365,851",$6.23,,time-not-supplied,Dec/2024,9,,2025-02-19 03:27:36
"Reliance, Inc.",RS,"$16,111,061,390",$2.74,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
ICON plc,ICLR,"$15,361,409,964",$3.27,,time-after-hours,Dec/2024,4,,2025-02-19 03:27:36
"CF Industries Holdings, Inc.",CF,"$14,353,163,743",$1.49,,time-after-hours,Dec/2024,7,,2025-02-19 03:27:36
AngloGold Ashanti PLC,AU,"$13,511,104,064",$0.80,,time-pre-market,Dec/2024,10,,2025-02-19 03:27:36
Jones Lang LaSalle Incorporated,JLL,"$13,412,132,631",$5.79,,time-pre-market,Dec/2024,5,,2025-02-19 03:27:36
POSCO HOLDINGS INC.,PKX,"$12,965,726,252",,,time-not-supplied,Dec/2024,N/A,,2025-02-19 03:27:36
Wix.com Ltd.,WIX,"$12,789,509,501",$0.63,,time-pre-market,Dec/2024,6,,2025-02-19 03:27:36
"Klaviyo, Inc.",KVYO,"$12,672,779,153",($0.06),,time-after-hours,Dec/2024,4,,2025-02-19 03:27:36
"Clean Harbors, Inc.",CLH,"$12,384,935,887",$1.34,,time-pre-market,Dec/2024,5,,2025-02-19 03:27:36
BioMarin Pharmaceutical Inc.,BMRN,"$12,359,308,587",$0.55,,time-after-hours,Dec/2024,11,,2025-02-19 03:27:36
Nordson Corporation,NDSN,"$12,339,408,346",$2.08,,time-after-hours,Jan/2025,4,,2025-02-19 03:27:36
"Host Hotels & Resorts, Inc.",HST,"$11,457,089,800",$0.40,,time-after-hours,Dec/2024,9,,2025-02-19 03:27:36
TFI International Inc.,TFII,"$10,908,902,038",$1.59,,time-after-hours,Dec/2024,7,,2025-02-19 03:27:36
Global-E Online Ltd.,GLBE,"$10,417,232,755",($0.01),,time-pre-market,Dec/2024,5,,2025-02-19 03:27:36
BanColombia S.A.,CIB,"$9,788,994,292",$1.43,,time-after-hours,Dec/2024,3,,2025-02-19 03:27:36
Alamos Gold Inc.,AGI,"$9,359,703,795",$0.21,,time-after-hours,Dec/2024,4,,2025-02-19 03:27:36
Exact Sciences Corporation,EXAS,"$9,126,112,007",($0.31),,time-after-hours,Dec/2024,6,,2025-02-19 03:27:36
