Company Name,Symbol,Market Cap,EPS Forecast,Time,Fiscal Quarter Ending,No. of ESTs,Last Year's EPS,Scraped At
FedEx Corporation,FDX,"$54,158,939,651",$5.93,time-after-hours,May/2025,11,$5.41,2025-06-24 05:22:42
Carnival Corporation,CCL,"$32,205,084,644",$0.24,time-not-supplied,May/2025,8,$0.11,2025-06-24 05:22:42
Carnival Corporation,CUK,"$29,034,706,097",,time-not-supplied,May/2025,1,$0.11,2025-06-24 05:22:42
TD SYNNEX Corporation,SNX,"$10,438,984,439",$2.56,time-pre-market,May/2025,5,$2.61,2025-06-24 05:22:42
Comp En De Mn Cemig ADS,CIG,"$5,494,621,238",,time-not-supplied,Mar/2025,N/A,$0.08,2025-06-24 05:22:42
"AeroVironment, Inc.",AVAV,"$5,351,703,385",$1.44,time-after-hours,Apr/2025,3,$0.43,2025-06-24 05:22:42
"Worthington Enterprises, Inc.",WOR,"$2,914,167,654",$0.76,time-after-hours,May/2025,1,$0.74,2025-06-24 05:22:42
BlackBerry Limited,BB,"$2,521,080,000",($0.01),time-after-hours,May/2025,1,($0.04),2025-06-24 05:22:42
China Yuchai International Limited,CYD,"$795,388,426",,time-not-supplied,Mar/2025,1,N/A,2025-06-24 05:22:42
Anterix Inc.,ATEX,"$513,088,228",($0.47),time-after-hours,Mar/2025,2,($0.51),2025-06-24 05:22:42
GreenTree Hospitality Group Ltd.,GHG,"$211,160,789",,time-not-supplied,Mar/2025,1,$0.08,2025-06-24 05:22:42
Smith-Midland Corporation,SMID,"$157,069,384",,time-not-supplied,Mar/2025,1,$0.21,2025-06-24 05:22:42
"Viomi Technology Co., Ltd",VIOT,"$92,100,193",,time-not-supplied,Mar/2025,1,N/A,2025-06-24 05:22:42
TH International Limited,THCH,"$91,918,504",,time-pre-market,Mar/2025,1,($0.45),2025-06-24 05:22:42
American Resources Corporation,AREC,"$75,700,954",($0.05),time-not-supplied,Mar/2025,1,($0.03),2025-06-24 05:22:42
Beamr Imaging Ltd.,BMR,"$49,194,577",,time-not-supplied,Mar/2025,1,N/A,2025-06-24 05:22:42
Laser Photonics Corporation,LASE,"$27,803,114",,time-not-supplied,Mar/2025,1,($0.06),2025-06-24 05:22:42
"Synlogic, Inc.",SYBX,"$14,737,097",($0.15),time-not-supplied,Mar/2025,1,($2.60),2025-06-24 05:22:42
Foresight Autonomous Holdings Ltd.,FRSX,"$9,164,250",,time-not-supplied,Mar/2025,1,($0.09),2025-06-24 05:22:42
Yunji Inc.,YJ,"$8,816,717",,time-not-supplied,Mar/2025,1,$0.08,2025-06-24 05:22:42
"Cyclacel Pharmaceuticals, Inc.",CYCC,"$7,592,643",,time-not-supplied,Mar/2025,1,($36.32),2025-06-24 05:22:42
Brenmiller Energy Ltd,BNRG,"$6,923,664",,time-not-supplied,Mar/2025,1,N/A,2025-06-24 05:22:42
"urban-gro, Inc.",UGRO,"$4,348,571",,time-not-supplied,Mar/2025,1,($0.12),2025-06-24 05:22:42
