Symbol,Currency,Name,IB Contract ID,ISIN,Rebate Rate,Fee Rate,Available Shares
2391358D,USD,ROI LAND INVESTMENTS LTD,137461526.0,XXXXXXX51012,4.08,0.25,100000.0
A,USD,AGILENT TECHNOLOGIES INC,1715006.0,XXXXXXXU1016,4.08,0.25,8900000.0
AA,USD,ALCOA CORP,251962528.0,XXXXXXX21065,3.9219,0.4081,5200000.0
AAA,USD,ALTERNATIVE ACCESS FIRST PRI,591368776.0,XXXXXXXX6105,-11.5163,15.8463,1000.0
AAAU,USD,GOLDMAN SACHS PHYSICAL GOLD,458886642.0,XXXXXXXK1034,1.8535,2.4765,150000.0
AABB,USD,ASIA BROADBAND INC,75216559.0,XXXXXXXL1008,4.08,0.25,
AABVF,USD,ABERDEEN INTERNATIONAL INC.,60152167.0,CA0030691012,-2.8238,7.1538,30000.0
AACAY,USD,AAC TECHNOLOGIES H-UNSPON AD,54939868.0,XXXXXXX41052,4.08,0.25,30000.0
AACG,USD,ATA CREATIVITY GLOBAL - ADR,48811132.0,XXXXXXXV1061,-3.523,7.853,450000.0
AACS,USD,AMERICAN COMMERCE SOLUTIONS,30207299.0,XXXXXXX91008,4.08,0.25,1800000.0
AACT,USD,ARES ACQUISITION CORP II,635315832.0,KYG330331045,2.8881,1.4419,1700000.0
AACT U,USD,ARES ACQUISITION CORP II,627159600.0,KYG330331128,3.1071,1.2229,6000.0
AACTF,USD,AURORA SOLAR TECHNOLOGIES IN,195675323.0,CA05207J1084,0.138,4.192,550000.0
AADI,USD,AADI BIOSCIENCE INC,511263210.0,XXXXXXXQ1040,3.3083,1.0217,650000.0
AADI.OLD1,USD,AMERICAN ASSET DEVELOPMENT I,80584789.0,XXXXXXX31056,4.08,0.25,20000.0
AADR,USD,ADVISORSHARES DORSEY WRIGHT,77459165.0,XXXXXXXY2063,-0.7379,5.0679,20000.0
AAGC,USD,ALL AMERICAN GOLD CORP,88362966.0,XXXXXXXV1026,4.08,0.25,2900000.0
AAGFF,USD,AFTERMATH SILVER LTD,267518971.0,CA00831V2057,-25.943,30.273,1900000.0
AAGH.OLD1,USD,ASIA GLOBAL HOLDINGS CORP,40015795.0,XXXXXXXD1081,4.08,0.25,950000.0
